OCCUPANCY;TOTAL_DEMAND[W];LIGHT[W];REFRIGERATOR[W];TV1[W];TV3[W];DVD_PLAYER[W];OVEN[W];MICROWAVE[W];SMALL_COOKING[W];DISH_WASHER[W];WASHING_MACHINE[W];IRON[W];VACUUM[W];CD_PLAYER[W];HIFI[W];KETTLE[W]
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;134;0;107;3;2;2;3;2;2;0;1;0;0;2;9;1
0;134;0;107;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;110;0;83;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;39;0;12;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;122;0;95;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;103;76;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;439;412;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;819;792;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1187;1148;12;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1508;1362;119;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1627;1517;83;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1612;1585;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;39;0;12;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;110;0;83;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;39;0;12;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;110;0;83;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;110;0;83;3;2;2;3;2;2;0;1;0;0;2;9;1
1;276;130;119;3;2;2;3;2;2;0;1;0;0;2;9;1
1;992;324;12;3;2;2;3;2;2;0;1;0;0;2;9;630
1;560;533;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;889;862;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;931;904;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;949;910;12;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;110;0;83;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;75;0;48;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;75;0;48;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;63;0;36;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;87;0;60;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;75;0;48;3;2;2;3;2;2;0;1;0;0;2;9;1
0;146;0;119;3;2;2;3;2;2;0;1;0;0;2;9;1
0;75;0;48;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
0;27;0;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;60;33;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;297;270;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;521;494;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;764;630;107;3;2;2;3;2;2;0;1;0;0;2;9;1
1;908;774;107;3;2;2;3;2;2;0;1;0;0;2;9;1
1;987;960;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1073;1046;0;3;2;2;3;2;2;0;1;0;0;2;9;1
1;1638;1608;0;3;2;2;3;2;2;0;1;0;0;5;9;1
2;1894;1818;0;3;40;2;3;2;2;0;1;0;0;13;9;1
2;1884;1846;0;3;2;2;3;2;2;0;1;0;0;13;9;1
2;1914;1876;0;3;2;2;3;2;2;0;1;0;0;13;9;1
2;1874;1836;0;3;2;2;3;2;2;0;1;0;0;13;9;1
2;2029;1872;119;3;2;2;3;2;2;0;1;0;0;13;9;1
2;2042;1912;95;3;2;2;3;2;2;0;1;0;0;10;9;1
2;1873;1846;0;3;2;2;3;2;2;0;1;0;0;2;9;1
2;1807;1780;0;3;2;2;3;2;2;0;1;0;0;2;9;1
2;1763;1736;0;3;2;2;3;2;2;0;1;0;0;2;9;1
2;1762;1726;0;3;2;2;3;2;2;0;1;0;0;11;9;1
1;1838;1800;0;3;2;2;3;2;2;0;1;0;0;13;9;1
1;1798;1760;0;3;2;2;3;2;2;0;1;0;0;13;9;1
